Наименование;Бренд;Форм-фактор;Ёмкость;Объём буф. памяти;Цена
Seagate ST2000VX008 SATA III 6 Gb/s; Seagate ; 3.5; 2 Tb ; 64 Mb;12240
Toshiba HDWD105UZSVA; Toshiba  ; 3.5; 500 Gb ;64 Mb;6200
SATAIII QK554AA;  HP  ; 3.5;  500Gb   ; 64 Mb ;14360
Seagate ST2000NM000A;  Seagate  ; 3.5;  2 Tb  ; 64 Mb ;18690
HGST Ultrastar 7K2;  HGST  ; 3.5;  2 Tb  ; 128 Mb ;25430
Seagate ST1000DM010;  Seagate  ; 3.5;  1 Tb  ; 64 Mb ;7180
Toshiba S300 Surveillance;  Toshiba  ; 3.5;  4 Tb  ; 128 Mb ;10710
Toshiba MG04SCA20EE;  Toshiba  ; 3.5;  2 Tb  ; 128 Mb ;11010
Toshiba HDWD130UZSVA;  Toshiba  ; 3.5;  3 Tb  ; 64 Mb ;11600
HDD Toshiba X300;  Toshiba  ; 3.5;  6Tb  ; 128 Mb ;20820
MbMb cache Seagate;  Seagate  ; 3.5;  4 Tb  ; 256 Mb ;20460
Seagate Skyhawk ST6000VX001; Seagate  ; 3.5; 6 Tb  ;  256 Mb ;21590
Seagate Barracuda ST4000DM004;  Seagate  ; 3.5;  4 Tb  ; 256 Mb ;13330
Toshiba HDWR160UZSVA;  Toshiba  ; 3.5;  6 Tb  ; 256 Mb ;20810
Seagate IronWolf ST2000VN004; Seagate  ; 3.5;  2 Tb  ; 64 Mb ;13120
Toshiba HDWT860UZSVA;  Toshiba  ; 3.5;  6tb  ; 256 Mb ;16480
Seagate ST16000NM001G;  Seagate  ; 3.5;  16 Tb  ; 256 Mb ;70200
Toshiba HDWD220UZSVA;  Toshiba  ; 3.5;  2 Tb  ; 64 Mb ;8170
Toshiba X300 HDWR160EZSTA;  Toshiba  ; 3.5;  6 Tb  ; 128 Mb ;21310
Seagate Barracuda ST3000DM007;  Seagate  ; 3.5;  3 Tb  ; 256 Mb ;9050
Toshiba HDWE160UZSVA;  Toshiba  ; 3.5;  6 Tb  ; 128 Mb ;16020
Toshiba HDWR480EZSTA;  Toshiba  ; 3.5;  8 Tb  ; 256 Mb ;25460
Western Digital WD20EFAX;  Western Digital  ; 3.5;   2 Tb  ; 256 Mb ;14590
Toshiba Surveillance S300 HDWT360UZSVA;  Toshiba  ; 3.5;  6 Tb  ; 256 Mb ;16780
MbMb Seagate ST500DM009;  Seagate  ; 3.5;  500 Gb  ; 32 Mb ;6540
Western Digital WD20EZBX;  Western Digital  ; 3.5;  2 Tb  ; 256 Mb ;7670
MbMb Seagate Barracuda ST2000DM008;  Seagate  ; 3.5;  2 Tb  ; 256 Mb ;7110
Toshiba MG06ACA600E; Toshiba  ; 3.5;  6 Tb  ; 256 Mb ;19650
Western Digital WD5003AZEX;  Western Digital  ; 3.5;  500 Gb  ; 64 Mb ;7910
Western Digital Caviar Red WD10EFRX;  Western Digital  ; 3.5;  1 Tb  ; 64 Mb ;8540
Toshiba HDWD240EZSTA;  Toshiba  ; 3.5; 4 Tb  ; 128 Mb ;11990
Western Digital WD2003FZEX;  Western Digital  ; 3.5;   2 Tb  ; 64 Mb ;25040
